CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;16;20.3;26.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;17;20.4;26.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;18;20.5;26.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;19;19.9;26.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;20;20.9;26.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;21;20.4;27.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;22;17.9;26.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;23;17.6;27.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;24;17.5;27.6
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;25;18.1;27.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;26;18.0;27.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;27;17.3;26.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;28;18.3;27.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;29;18.3;27.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;30;19.9;28.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;31;21.2;28.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;01;15.2;23.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;02;15.5;19.8
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;03;14.4;23.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;04;12.6;24.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;05;15.4;24.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;06;14.8;25.7
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;07;14.9;25.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;08;14.3;24.0
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;09;16.1;22.9
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;10;17.1;23.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;11;16.7;23.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;12;17.0;25.0
